Medicine,Condition,Reviews,Ratings,Date,Useful Count
Abilify,Depression,"On 2 mg. It made me feel empty inside. Like things didn't bring excitement, adrenaline. Everything seemed blank. Had major sweet cravings for the first month or two but it leveled off. The most sweet cravings were at 5 mg a day. Really brought reality into full focus. Got it a pharmacy that use a different supplier that's cheaper.",5,"February 29, 2016",22
Abilify,Depression,"Our 12 year old son was having terrible anxiety and could not get along with anyone at school.  He did not trust anyone and would not listen to anyone either.  He suggested suicide more than once but thankfully never went through with it.  We regularly saw a therapist but would not listen. We reluctantly decided to add the smallest dose of abilify to his depression medicine. In approximately 2 days we saw an immediate change.  He seems more ""balanced"" and the anxiety level down significantly.  It has only been 2 weeks....but so far so good.",9,"February 27, 2016",97
Abilify,Depression,Night and day positive effect,10,"February 23, 2016",55
Abilify,Depression,"I started on this medication just 3 days ago at 2 mg. In conjunction with celexa  40 mg and 90 mg cymbalta. I have noticed some mild nausea but nothing else yet. To the 12 yr old girl, my doctor and pharmacy said this medication abilify should not be taken by anyone under 18 years.",5,"January 18, 2016",27
Abilify,Depression,I started this medication when I was about 11 or 12 and took it for 6 months. It made me so anxious and so restless I remember having to get up in the middle of class several times to get a drink of water to try and stop my anxiety. I had several episodes of this and always felt that I had to be moving. Maybe I was too young to be on the medicine though...,2,"January 16, 2016",25
Abilify,Depression,"I've been suffering with dibilitating depression, anxiety, and OCD for over 20 years. I've was in remission for 8 years, but this time it came back with a vengeance! I was really losing hope. I have tried every single antidep out there, and the ones that worked very well before, don't work anymore. I've been on a roller coaster and fighting for over 7 years to get my life back. It's been a living hell. I could hardly get out of bed, taking a shower was too much, even putting my seatbelt on seemed like a chore. If you have ever suffered, you know what I'm talking about! I was put on Abilify to help with my Effexor just three days ago and I already feel like I can conquer the world...I just pray it lasts! ",9,"January 10, 2016",174
Abilify,Depression,"This medication is amazing, but after 2 months I gained 20lbs. :/",10,"December 29, 2015",55
Abilify,Depression,"I was feeling like I was in a hole and couldn't get out  of it.  Nothing was working. I am now on lamictal and abilify and within a week I was feeling better. I take them both at night I don't know if that makes a difference,  but I always wake up early with lots of ENERGY and ready to do whatever. Which before all I could do was lay in bed. I hope I don't gain any weight, I haven't yet and haven't experienced any over eating and I'm on 10mg abilify and 200mg of lamictal. So they have both worked wonders for my depression.  With no side effects that I can see yet.",10,"December 13, 2015",112
Abilify,Depression,My lexapro stopped working so I was switched to prozac.  While prozac did help some it didn't help enough.  My psychiatrist prescribed abilify at 2mg to add on to 60mg of prozac.  Within 2 days I was pulled out of the dark hole I was in and  my crying spells were gone.  This pill is a miracle pill.,10,"November 9, 2015",114
Abilify,Depression,"My anxiety and then depression began about 4 months ago.  I didn't want to get out of bed, and had compulsive negative thoughts, no energy or motivation, and couldn't sleep, lost 20 pounds.  I was prescribed Lexapro generic.  This med did almost nothing for 3 months.  Within a week of adding Abilify generic, most symptoms changed.  I feel much better, have appetite, better energy, appetite, optimism, more like me, and motivated to get out of bed when I wake up...which is great.",9,"November 8, 2015",91
Abilify,Depression,Abilify does not work. It is not the medication for me. My heart races I can't breathe half of the time right  I get dizzy I'm panicky and unmotivated I'm Droggy and always lethargic very down and it has the opposite effect. !!!,2,"October 6, 2015",52
Abilify,Depression,"Taking this in conjunction with Wellbutrin and Buspar gave me my life back. 
My mood is stable, I'm happy, excited, and not over the top either. The trade name really describes this medication well that's for sure. However, this isn't for everyone. Also I must note the first 5 days kind of suck. I felt like my head was spinning and I felt nauseated like I was on a roller coaster all the time. Never threw up though. SO glad I stuck with it though. Well worth it in the end.",9,"September 1, 2015",81
Abilify,Bipolar Disorder,"This medication  Abilify almost killed me. I started it in January  for bipolar and felt flat and slightly suicidal (as I had before starting it) for about two months on it. Experienced some weight gain. After the two months, I began to have obsessive suicidal thoughts to the point I couldn't concentrate. Oddly enough, I didn't feel depressed just non-stop suicidal thoughts. I got off of it and switched to lithium, haven't had a suicidal thought in months!",1,"October 16, 2019",19
Abilify,Bipolar Disorder,"I tried to give Abilify a chance three times. I find no interest in activities, not suicidal but don’t feel inspired or a purpose to anything, I just want to be in bed all day and I easily get emotionally hurt or offended. I felt everyone would stare and judge me and so my Doctor kept saying that I would get better after a couple of weeks. The first few days I felt very high and happy, I also had high levels of energy but I couldn’t finish one thing before starting another. I also began to feel extreme panic, I had constant panic attacks, flushing sensation and once I began to lessen the dose to come off I experienced vertigo. I had not felt this before and I was in a panic thinking I had some tumor or had something haywire my nervous system and would never be the same. I stopped in July and it’s now October I still have vertigo but not as intense, I was just prescribed Wellbutrin and I’m really hoping it helps me. Everyone is different but this was my personal experience",3,"October 11, 2019",11
Abilify,Bipolar Disorder,"I took abilify for over 6 years and at first it worked very well. Year 2 I started having face twitching, shakiness and stuttering speech. 3rd year I started with tardive dyskinesia. 4-6 ish years I had all the aforementioned and added falling at least 6 times a day, I was so shaky I could barely walk, plus my memory was shot. I couldn't remember my  phone number or email address I had had for 10 years. New psych took me off and within 2 months almost all of the symptoms were gone. I think some of the shakiness and memory loss are permanent but I have a new lease on life. Poison. Pure poison. I wish I could have those 6 years back.",1,"October 4, 2019",23
Abilify,Bipolar Disorder,"Thank you all so much for your candid feedback!! I needed this for support and better understanding.
I sobbed reading every comment, because I can relate.  My 18 year old son has psychosis and mania.
Meds just changed.
Lithium dropped due to “out of range” high toxicity. 
Antipsychotic med. Risperidone, no longer affective after a year.
He has been on Abilify for 1 week.
After 1 day, I could tell his psychosis was disappearing. 
He realized date on the calendar, acted as if he had missed a month of his life. Then immediately jumped back in the game!
He showered with soap!
His obsessive, fixated thoughts and actions stopped, and he quickly 
reprioritized his responsibilities. 
Side affects- nausea, sick, no appetite for days.  (Zofran) is helping. 
Slightly more aggravated at times, pesters family, a little removed, impulsive and quick to snap.
It’s only been a week, so hoping these symptoms stop, and mood levels out.
Thank you again for sharing!
Love and wellness to all",7,"October 2, 2019",24
Abilify,Bipolar Disorder,Worked well for 2 years but has been less effective lately.,6,"September 24, 2019",13
Abilify,Bipolar Disorder,"Wow. I took it and many of the reviews here could have been me. Was on it for 3 weeks couldn’t take the side effects. My tongue was  swollen 2x it’s size uncontrollable salivating. Anger outbursts that were uncharacteristic of me, impulsivity, akasthasia horrible kicking legs as I tried to go to sleep. Doc was kind enough to pull me off it as I gained 20 pounds in this month. Ridiculous. It was not a “live saver” for me either. ",1,"September 1, 2019",13
Abilify,Bipolar Disorder,"This drug destroyed my life. My sexual urges became insatiable and my drug use went supersonic. After the dust settled my marriage was destroyed,  I’m broke and my credit rating went 750 to 400. I’ve lost all credibility with my family and friends. I started going sideways almost immediately after I started taking Abilify. I had trembling hands   I cut myself and was very irritable.  I became a different person",1,"August 28, 2019",10
Abilify,Bipolar Disorder,"I've been on Abilify 5mg for 3 weeks now (taking for bipolar). I'm naturally a restless person so I like the feeling of having to do something all the time, It makes me feel like I'm contributing. Sleeping about 5-6 hours a night. Weight gain of about 2lbs. I feel better and a little more connected to my husband and kids as compared to when I was on Quetiapine.",7,"August 18, 2019",20
Abilify,Bipolar Disorder,"Well I've been on for 5 days. I'm a little more chill, but completely lost my ability to have an orgasm :( so...idk 
",5,"August 12, 2019",18
Abilify,Bipolar Disorder,"This medicine  Abilify has done wonders for my hallucinations ! They are 3/4 the way gone and I've never felt more stable in my whole life. Earlier when I was just depressed so they added Abilify to my Zoloft.  It did not spark joy at all, made me gain 15 pounds. But a year later I developed psychosis and they gave me Abilify once again. It worked like a miracle this time! I have been on this medication for about 6 months and its been so good, highly, highly recommend this if you are experiencing psychosis!",10,"August 7, 2019",25
Abilify,Bipolar Disorder,"I had commented approximately 2 weeks ago  (under the name:  I hate abilify. on the 2019-07-09) regarding the 400 mg abilify injection. Well I saw my new pdoc on the 18th and she is wonderful!!! I am no longer on the injection due to side effects.  In addition to all of the side effects noted previously, I forgot to mention the major weight gain also.  This drug is NOT WEIGHT NEUTRAL!!  IF YOU ARE CONCERNED ABOUT YOUR WEIGHT MOVE ON TO THE NEXT DRUG.  If you're not happy with your current pdoc find someone you are happy with.  Just because we have bipolar disorder or have a mental illness does not mean we can not control what we ingest into our body.  You have a choice!!! If you have a feeling of being trapped and your pdoc not listening to your concerns, MOVE on!!!! Good luck to all of you.....",1,"July 28, 2019",24
Abilify,Bipolar Disorder,Helped with mania and depression. Stopped taking due to weight gain and erectile dysfunction.,4,"July 19, 2019",6
Abilify,Bipolar Disorder," I am on the 400 mg Abilify injection and I am miserable!  My pdoc is the worst.  She does not listen to anything I have to say about the drug regarding side effects.  I am having muscle spasms as I am typing right now.  I also have dry mouth, constipation, depression and agitation. I had this doctor with tunnel vision ten years ago you think I would have learned my lesson, but I do have an appointment on the 18th with a new proc thank god!!!!


God help us all!!!",1,"July 9, 2019",15
Abilify,Bipolar Disorder,"Abilify levels out my mania like nothing else but does nothing for my depression. Causes regular chest pain, weakness, and awful akathesia. Works for the most part, but I would definitely not recommend due to side effects.",4,"July 5, 2019",9
Abilify,Bipolar Disorder,"The most terrible drug I have ever been put on. Always tired, trouble moving and dizziness. Would not recommend this drug to anyone.",1,"June 25, 2019",12
Abilify,Bipolar Disorder,"A psychiatrist of very questionable competence added Abilify to my antidepressant so that I would have to come back more often for visits (my antidepressant was working fine).  The six weeks that I was on Abilify, I could not sit still in a chair for even five minutes.  All I would do is pace.  I have never been classified as bipolar by anyone but this doctor (major depression - yes) and I lived a nightmare while taking Abilify.  I don't wish this on anyone.  If a doctor suggests that you take this drug, please ask a lot of questions and do some research on your own.",1,"June 17, 2019",13
Abilify,Bipolar Disorder,"I was on this for over 3 years. To start with I thought it was working, the last year I had a racing head and high anxiety. Was discharged from psych so had to fight to get seen again to change medication. Realised a few months after coming off it that my finances had changed shortly after starting Abilify and not in a good way. I was never in debt before Abilify. I am 37 too. I’m in a lot of debt because of Abilify because I started taking out loans shortly after starting it amongst other things. Have since read that the FDA made the manufacturing company to list compulsive shopping, compulsive gambling and other excessive behaviours etc as a side effect in May 2016. I started it in August 2015 so was unaware when I researched this medication when I first went on it. No Dr made me aware of this side effect at any point. Please note I have been manic prior to this medication and had never taken out credit or borrowed money.",1,"May 21, 2019",13
Abilify,Bipolar Disorder,"I have a mood disorder and an anxiety disorder. I’ve been taking Zoloft for ~3 years, and although it helped with anxiety, it didn’t touch my intense mood swings. After a very bad mood swing that almost broke up my 7 year relationship, I sought help. My psychiatrist put me on Lamictal first, and it gave me hives. Then we tried trileptal, and the GI side effects were unbearable after 2 weeks. Finally she put me on Abilify and so far it has been great. I’ve been on 2 mg of Abilify (with 50 mg Zoloft) for a week and there have been almost no side effects. I was warned there might be dry mouth or excessive sweating but I’ve been fine. It did cause me to wake up 7-8 times during the night, but I switched to taking it in the morning and now I sleep like a baby again! It has only been a week but I’m starting to feel a difference: I have more energy and I feel more in control of my moods ",9,"May 14, 2019",19
Abilify,Bipolar Disorder,"Terrible experience. Started on 4 mg then the next day I couldn’t stop puking, had dangerously low blood pressure, and they couldn’t feel a pulse. I’m 19 and this is a relatively low dose to start on. I really think this medicine needs to be recalled because it is so dangerous. I would NOT recommend this drug",1,"May 9, 2019",14
Abilify,Bipolar Disorder,"Abilify works well for my bipolar, it really helped with my reaction to stimulus.",10,"May 6, 2019",16
Abilify,Bipolar Disorder,"Caused extreme hysterical sobbing  and suicidal-level depression after only 3 doses. I had to be hospitalized via ambulance, and spent an additional 2 days sobbing in my hospital room with the curtains closed. I’ve had bipolar II for 22 years, and this was, without a doubt, the most nightmarish emotional experience I have ever had.",1,"April 19, 2019",11
Abilify,Bipolar Disorder,"Of all the conditions this medication treats it seems that the lowest reviews come from people, like myself, who have bipolar disorder. I came to this site to read other reviews to see if what I’ve been feeling was somehow related to Abilify. I’m glad I read some of the reviews because now I don’t feel as crazy. 

My new psychiatrist was so confident that this medication would work that I’ve been convincing myself to ignore the things that were off but now it’s just unbearable. I am naturally very emotional and before this medication I absolutely hated it but now that I basically feel emotionless I want off of this medication. 

I’m envious of how this has been a miracle drug for a lot of people but for me it’s been fogginess, no appetite and just a general feeling “blah”. I also stumble over my words a lot and my creativity feels stifled by it. I’m calling my psychiatrist tomorrow and getting off of this stuff.",1,"April 15, 2019",9
Abilify,Bipolar Disorder,I took this for three months and it caused me to gain 40+ pounds,1,"December 11, 2018",17
Abilify,Bipolar Disorder,"I’ve tried every mood stabilizer, typical psychotic and atypical antipsychotic for my Aspergers and Bipolar depression, and Abilify always helps the most. 
I feel happy on it and it helps me with dysphoric mania consistently. 
It does cause weight gain, but I have been able to lose weight on it by cutting calories to 1500 a day and walking regularly. 
Plus, it has a generic version now, so it’s cheap!",8,"November 30, 2018",22
Abilify,Bipolar Disorder,"I was started on Abilify  as a mood stabilizer for Bipolar I manic episodes . I was afraid to take it at first (as I am with all meds), but I took 1/4 of the pill days 1-2. Felt no I’ll effects except tiredness. Took 1/2 pill for 2 weeks. Noticed immediately my mood levelled out. Still made me tired at night. Groggy in the morning but wore off as the day went on. Now, on a whole 5mg and so far it has been wonderful! I feel so much happier and levelled off with my moods. I feel normal. It’s fantastic! It still makes me tired when I first take it at night (so I can sleep finally), but the early morning grogginess is much better. Used to last all morning. Now lasts maybe an hour. Love it!!",10,"October 28, 2018",20
Abilify,Bipolar Disorder,"After five months in 11-12 year old male, no noticeable side effects and works very well at reducing mania. (7.5mg)",10,"April 13, 2015",12
Abilify,Bipolar Disorder,"I am 40. I was diagnosed bipolar 15 years ago. My mania manifests itself as aggression/rage. My rage has been a problem since I was young. My violent outbursts consisted of me punching myself, bashing my head against walls and other horrifically embarrassing and dangerous actions. I was extremely verbally abusive to anyone unfortunate enough to be near me during my rages. I have been on many meds throughout my life. Every benzo. Mellaril. Thorazine. Every SSRI. Depakote. Lithium. NOTHING curbed my rage. In fact - SSRI meds INTENSIFIED my rage. 10 years ago, my psychiatrist put me on 20mg of Abilify. Within 4 days - I felt like I could finally breathe. My rage literally disappeared. But I don't feel ""zombie-ish"" like with other meds.",9,"April 11, 2015",72
Abilify,Bipolar Disorder,Love it!,8,"April 7, 2015",15
Abilify,Bipolar Disorder,"I have bipolar 1 and started this medication to help with breakthrough symptoms while on a mood stabilizer.  Within the first few hours I knew this wasn't the right medication for me.  I was so anxious inside, I felt as if my blood was crawling around beneath my skin. After two days of taking it I knew that if I stayed on it, I would be at risk of suicide to stop that horrible feeling.  Taking it made me stay awake for two days, fretting with anxiety.  I spoke to my doctor the first chance I got and she immediately took me off of it.  I'm on other medications now and very stable for years.",1,"March 30, 2015",22
Abilify,Bipolar Disorder,"I'm on Abilify in conjunction with Lamictal. In ten years this combination is the only one that has worked. While it took some tweaking it is well worth it. Two side effects, constipation and eye rolling.",9,"March 17, 2015",25
Abilify,Bipolar Disorder,"Abilify changed my life. There is hope. I was on Zoloft and Clonidine when I first started Abilify at the age of 15.. Zoloft for depression and Clondine to manage my complete rage. My moods were out of control. I was depressed and hopeless one second and then mean, irrational, and full of rage the next. My Dr. prescribed me 2mg of Abilify and from that point on I feel like I have been cured though I know I'm not.. Bi-polar disorder is a constant battle. I know Abilify works for me because I have tried to get off it and lost complete control over my emotions. Went back on it and I was golden again.  I am on 5mg 2x daily. I am now 21 and better than I have ever been in the past. Only side effect is I like to eat a lot.",10,"March 14, 2015",34
Abilify,Bipolar Disorder,"Day one: TERRIBLE!  Very tired, had to stay home from work
Day two: Getting better.  Very tired in morning but the day improved
Day three: Wonderful!  I am not sure what ""normal"" is, but if this is it, I am in heaven.  Awake, focused, appropriate amount of energy, easy going mood, less irritable and lower anxiety (could be the xanax on the last one).

I am just beginning the medication but typically meds have a quick affect on me and stick.  I have not noticed any unusual appetite increases but I am certainly going to keep an eye on it because I noticed a large percentage experiences weight gain.  As my fiance says- mental health is more important than gaining a few pounds anyway.",10,"March 12, 2015",46
Abilify,Bipolar Disorder,"Desperately trying to get back on Abilify, but insurance is awful. My suicidal thoughts are back. The Abilify balanced me out and I could sleep while on it. (It's almost 5am, and I haven't slept yet.)",10,"March 7, 2015",28
Abilify,Bipolar Disorder,"I am a 28 year old female diagnosed with Bipolar 1, Generalized Anxiety Disoder, Panic disorder and Agoraphobia. A little over a week of taking this medication in conjunction with Lamictal and a benzo (Xanax, Klonopin, or Valium depending upon doc's decision) I felt like a million bucks. I could leave the house. I had a normal sleep schedule. I had energy for the first time in a long time. It was a miracle for me. Stopped taking it and downward I went again. Restarting now and I couldn't be more excited. I will say it made me feel restless and that includes Restless Leg Syndrome types of feelings. But, I would rather be restless and functioning. You have to weigh the pros and cons --for me it is a PRO!",9,"January 15, 2015",76
Abilify,Bipolar Disorder,"Abilify worked pretty good for five years with Prozac.  But then I became morbidly obese, with elevated bad lipids and prediabetes.  Also, I was constantly in fear of tardive dyskinesia.  I no longer take it.",5,"November 19, 2014",25
Abilify,Bipolar Disorder,"I'm a 21 year old female and just diagnosed with Bipolar I. It's been a roller coaster ride especially after gaining 10 pounds in the hospital while taking risperidone and Depakote. I'm still on the Depakote, though I hope to discontinue it as soon as my psychiatrist allows, but I just switched to Abilify. I've got to say, so far I have no complaints. With risperidone I had no ""lid"" to my hunger. It was endless, and that was quite disappointing. There were many other side effects, but the weight gain has added to my self loathing. Though the painful heart dysrhythmias are a close second. I'm hoping that Abilify makes it possible for me to curb my appetite back to what it used to be as I exercise the 30 pounds I don't need away.",7,"November 12, 2014",31
Abilify,Bipolar Disorder,This has helped extremely with my bad mood swings and irritability but am having nightmares and waking up multiple time during the night feeling restless.,5,"October 24, 2014",39
Abilify,Bipolar Disorder,Have been on Abilify for two weeks and my personality has changed drastically. I went from being chilled out and quite okay on Seroquel and Effexor but wanted to try Abilify to combat weight gain. In the two weeks I've been on it I've swung from hypomanic to aggressive and downright selfish. I did things I wouldn't normally do that has hurt my relationship with my partner and I've also been spending like crazy. Probably should stop but will consult psychiatrist first to see what she says.,1,"October 15, 2014",36
Abilify,Bipolar Disorder,No effect after 3 months on it.,1,"September 15, 2014",13
Abilify,Bipolar Disorder,"I've been taking Abilify for eight months now. Although it made me gain 15-20kg (something like 33-40 lbs I believe?), my experience is quite positive. The sadness from my major depressive episode, as well as my suicidal thoughts, have been almost annihilated. The reason why I rated it as a six is because it didn't help ease the great fatigue I have. But it helped a lot, that is for sure.",6,"August 14, 2014",37
Abilify,Bipolar Disorder,"So many negative side effects. This interacts HORRIBLY with THC, especially as the THC wears off, and exponentially exacerbates the intensity and length of any depressive come-down effects. In my experience it  interacts with alcohol in about the same way. Also it can make women in-orgasmic.",2,"August 12, 2014",20
Abilify,Bipolar Disorder,"I was ready to walk out on my husband because of his hateful stressful presence. I sent him to the doctor and he was diagnosed with bipolar disorder and started on Abilify. It was a lifesaver for our marriage and family. He is happy, fun, and hopeful again. I thank God my prayers were answered.",10,"August 10, 2014",90
Abilify,Bipolar Disorder,Gained 60 lbs in under 9 months while taking this.,1,"July 30, 2014",16
Abilify,Bipolar Disorder,"I took Abilify for one month. I had restlessness, a feeling that I needed to do something. It was a good thing in a way. At first I was more irritable but that subsided substantially after a few days. It made me feel a lot more calmer and in control of my emotions without making me feel like I was suppressing them. This is the first pharmaceutical medicine I have tried to treat my condition and it definitely worked better than the natural remedies such as St John's Wort, same, and passion flower. It even helped more than meditation. I have just switched to Latuda because Abilify gave me chest pains. If the pain was anywhere else I would of definitely stayed on the medicine because it worked. It helped me gain 10 lb which is good for me.",8,"July 29, 2014",25
Abilify,Bipolar Disorder,"I like Abilify a lot because I used to be extremely irritable. I also couldn't ride my bicycle when I was manic because I would not focus on my safety. Luckily, I now only get hypomanic episodes thanks to Abilify. I feel like I am free to get off of my emotional roller coaster and explore the world outside. The only few problems it gave me were akasthesia and weight gain. I'm 14 years old, and I don't know whether I gained 40 lbs from growing, the medicine, or both.",7,"June 1, 2014",26
Abilify,Bipolar Disorder,"Started on Abilify in addition to Effexor and Lamictal.  Immediately had tremors in hands, lips and speech.  Gained weight and was anxious.  Stopped taking when I ran out; tremors stopped, lost weight and no noticeable negative consequences.  Don't know why it was prescribed but it caused more problems than it helped.  Side effects were terrible.",1,"May 23, 2014",36
Abilify,Bipolar Disorder,"I am diagnosed bi-polar and I have tried Lamictal, Lithium, Latuda and I don't even know how many other combinations. Abilify was the only one that has shown results for me. Yes, it tends to make me tired about 4-5 hours after taking it. And it makes me eat like a piggy sometimes, which has caused some weight gain. But nothing to severe. I take 5mg in the morning and 5mg at night, perfect dose for me. It keeps my moods perfectly balanced but I have been taking Abilify since I was 15 and I am now 20 and do not plan on stopping it anytime soon. I have tried that and it did not end well.",9,"April 16, 2014",52
Abilify,Bipolar Disorder,"I have tried many bipolar, mania medicines with none being the right one, however when my doctor prescribed Abilify it helped majorly in my life. I am on a combination of Abilify, Divalproex and Trazadone. All of which work in my favor. It is very comforting to know there is a medicine out there that understands bipolar patients.",10,"March 4, 2014",36
Abilify,Bipolar Disorder,This medicine did not work for me.  I suffer from Bipolar with mood swings and panic disorder.  I went up to 10mg and It seemed to help my mood but it pushed my anxiety off the charts. I was a shaky mess while taking it and also unable to focus and complete tasks.  Went off within 4 weeks.,3,"January 10, 2014",30
Abilify,Bipolar Disorder,"This medicine made me nervous all the time, I was a wreck, I could never sit still. It took away the mania and psychosis but left me suicidal and depressed so my psychiatrist stopped it.",5,"December 27, 2013",20
Anonymous,Zovirax (acyclovir),"Retin-A (tretinoin) for Acne:			“Started this and I’m just hopeful as I cannot see any results yet.
Rather my acne has gotten terribly worse than it was . I’m still giving it time like they said",5,"November 14, 2020",3
Anonymous,Zovirax (acyclovir),"For Photoaging of the Skin:			“I wanted to go on to share my experience. I started off with 0.025 and 0.05 and my skin did ok. Had some initial flakiness, but moisturizer helped and it eventually improved. My dermatologist upped me to 0.1% and things took a turn for the worse. About two weeks after I began using it, my skin got really red and itchy, and I developed diarrhea which turned bloody. I had to go to the ER, thinking I had something terrible wrong and it turned out that high dosage (0.1%) of Tretinoin was the culprit. Once I got off it, my GI symptoms went away and the redness of skin went away. So proceed with caution. The lower dosage of 0.05% did improve the appearance of my skin.",2,"October 29, 2020",4
Anonymous,Zovirax (acyclovir),"For Photoaging of the Skin:			“33 y/o male here. I've been using tretinoin 0.05% for just over a month now. I have yet to have any negative side effects I've read about from others; this had me wondering if Walgreens gave me a fake Rx haha. I haven't had any peeling, sensitivity or any type of reaction :: fingers crossed :: That being said, I have been using it every night by itself and then moisturing in the a.m. and putting on Strivectin's clear sunblock everyday before I go out. I'm hoping I won't have any purge as I've gone this long without any negative side effects. I can't help but wonder if the fact I follow a keto diet and take supplements keeps the purge at bay? Perhaps many people have a bad or prolonged purge due to their diet? Try it and see if a change helps since we know sugar induces AGEs (Advanced Glycation End products affecting collage)!",9,"October 14, 2020",2
Anonymous,Zovirax (acyclovir),"Retin-A (tretinoin) for Acne:			“I have been on this for 5 months. I originally tried adapalene and broke into blisters and a rash and was hesitant to try another similar product. My derm said the retin-A was gentler and to start slow and do what I can tolerate. I used it every third day for two weeks and then every other day and continue every other day. I also use aczone but aczone was not effective on its own. My skin is almost completely clear. I don't even use it daily and have not felt this good in a while. I am so happy and can only imagine I will continue to see results. Consistency is key. Best acne product I have ever tried! Finally something that works.",10,"October 5, 2020",6
Anonymous,Zovirax (acyclovir),"Stieva-A (tretinoin) for Acne:			“This cream is absolutely awful!!! Just a thin covering made my the skin on my whole face peel off more than 6 times and it’s still doing it one week later!!!",1,"August 24, 2020",8
Anonymous,Zovirax (acyclovir),"Retin-A (tretinoin) for Acne:			“33 yo/female. Had acne since I was 13 yo. Was diagnosed with PCOS. Took birth control for about 15 years also Spironolactone. My acne is very persistent and mainly comedonal especially jaw line/cheeks/upper neck. I stopped birth control and was tired of Spironolactone as taken alone it didn't do much for me. Went on Accutane which was a horrible experience to clear my acne for it to come back just 6 months later. Have been using Retin A 0.01% for 2.5 months and I can see a lot of improvement. My skin is still purging as it's really congested but I can see it's improving gradually and clearing up. It was a real mess in the first 6 weeks. I'm getting less painful acne around my jaw area now and my skin is much softer, the scars are also fading. Will continue the treatment for the rest of my life I believe. Highly recommend it to anyone with hormonal acne who doesn't want to take medication.",10,"August 21, 2020",26
